Category,Sl.No.,Ministry/Department,Scheme,Actuals2019-2020 - Revenue,Actuals2019-2020 - Capital,Actuals2019-2020 - Total,Budget Estimates2020-2021 - Revenue,Budget Estimates2020-2021 - Capital,Budget Estimates2020-2021 - Total,Revised Estimates2020-2021 - Revenue,Revised Estimates2020-2021 - Capital,Revised Estimates2020-2021 - Total,Budget Estimates2021-2022 - Revenue,Budget Estimates2021-2022 - Capital,Budget Estimates2021-2022 - Total
Demand No. 31,343,Department of Financial Services ,Publicity and awareness for Stand-Up India and other initiatives by SIDBI,5, NA,5,5, NA,5,5, NA ,5,5, NA,5
Demand No. 31,344,Department of Financial Services ,Credit Guarantee Fund for Factoring (through NCGTC), NA, NA, NA,0.01, NA,0.01, NA, NA , NA,0.01, NA,0.01
Demand No. 31,345,Department of Financial Services ,Assistance to National Credit Guarantee Trustee Company limited (NCGTC) for the Guarantee Emergency Credit Line (GECL) facility to eligible MSME borrowers., NA, NA, NA, NA, NA, NA,4000, NA ,4000, NA, NA, NA
Demand No. 31,346,Department of Financial Services ,Loans for settlement of claims on invoking guarantee given by Government under Prtial Credit Guarantee Scheme (PCGS), NA, NA, NA, NA, NA, NA, NA,500,500, NA,1000,1000
Demand No. 31,347,Department of Financial Services ,Loans for settlement of claims on invoking guarantee given by Government under Special Liquidity scheme (SLS), NA, NA, NA, NA, NA, NA, NA,500,500, NA, NA, NA
Demand No. 31,348,Department of Financial Services ,Subsidy to small Industries Development Bank of India (SIDBI) on Interest Subvention of 2 percent for prompt repayment of Shishu Loans (subsidies), NA, NA, NA, NA, NA, NA,1232, NA ,1232,310, NA,310
Demand No. 31,349,Department of Financial Services ,Capital Support to National Bank for Financing lnfrastructure and Development( NaBFID), NA, NA, NA, NA, NA, NA, NA, NA , NA, NA,20000,20000
Demand No. 31,350,Department of Financial Services ,Compounded interest support scheme for loan moratorium, NA, NA, NA, NA, NA, NA,5500, NA ,5500, NA, NA, NA
Demand No. 42,351,Department of Animal Husbandry and Dairying ,National Animal Disease Control Programme for Foot and Mouth Disease (FMD) and Brucellosis,811.02, NA,811.02,1300, NA,1300,858, NA ,858, NA, NA, NA
Demand No. 42,352,Department of Animal Husbandry and Dairying ,Livestock Health and Disease Control Programme, NA, NA, NA, NA, NA, NA, NA, NA , NA,1470, NA,1470
Demand No. 42,353,Department of Animal Husbandry and Dairying ,Infrastructure Development Fund, NA, NA, NA, NA, NA, NA, NA, NA , NA,283, NA,283
Demand No. 43,354,Ministry of Food Processing Industries ,Pradhan Mantri Kisan Sampada Yojana,818.6, NA,818.6,1081.41, NA,1081.41,750, NA ,750,700, NA,700
Demand No. 44,355,Department of Health and Family Welfare ,Pardhan Mantri Swasthya Suraksha Yojana,3552.66,1130.82,4683.48,5352.1,667.9,6020,5069.35,2447.9,7517.25,5153.13,1846.87,7000
Demand No. 44,356,Department of Health and Family Welfare ,National AIDS and STD Control Programme,2800.97,12.11,2813.08,2846.16,53.84,2900,2846.16,53.84,2900,2878.5,21.5,2900
Demand No. 44,357,Department of Health and Family Welfare ,Family Welfare Schemes,489.41, NA,489.41,600, NA,600,495.69, NA ,495.69,387.15, NA,387.15
Demand No. 44,358,Department of Health and Family Welfare ,Establishment and strengthening of NCDC Branches and Health Initiatives Inter Sectoral co ordination for preparation and control of Zoonotic Diseases and other neglected tropical diseases surveillance of Viral Hepatitis Anti Microbial Resistance,19.57,3.46,23.03,37,15,52,26.6,15,41.6,40,21.44,61.44
Demand No. 44,359,Department of Health and Family Welfare ,National Pharmacovigilance Programme,7.79, NA,7.79,10, NA,10,8.01, NA ,8.01,10, NA,10
Demand No. 44,360,Department of Health and Family Welfare ,Development of Nursing Services,39.78, NA,39.78,16, NA,16,14.68, NA ,14.68,17.54, NA,17.54
Demand No. 44,361,Department of Health and Family Welfare ,Health Sector Disaster Preparedness and Response and Human Resources Development for Emergency Medical Services,166.39,39.88,206.27,85.78,44.22,130,36.83,0.55,37.38,77.18,52.82,130
Demand No. 44,362,Department of Health and Family Welfare ,National Organ Transplant Programme,11.42,1.08,12.5,31.65,1.35,33,6, NA ,6,29.15,1.35,30.5
Demand No. 44,363,Department of Health and Family Welfare ,Impacting Research Innovation and Technology (IMPRINT) Scheme,7.42, NA,7.42, NA, NA, NA, NA, NA , NA, NA, NA, NA
Demand No. 44,364,Department of Health and Family Welfare ,COVID -19 Emergency Response and Health System Preparedness Package - EAC, NA, NA, NA, NA, NA, NA,10615.96,1141,11756.96, NA, NA, NA
Demand No. 44,365,Department of Health and Family Welfare ,Covid 19 vaccination for health care worker and front line workers - NHM, NA, NA, NA, NA, NA, NA,360, NA ,360, NA, NA, NA
Demand No. 44,366,Department of Health and Family Welfare ,National Digital Health Mission - NHM, NA, NA, NA, NA, NA, NA,30, NA ,30,30, NA,30
Demand No. 45,367,Department of Health Research ,Setting up of nation wide network of laboratories for managing epidemics and national calamities,69.37, NA,69.37,83, NA,83,83, NA ,83,82, NA,82
Demand No. 45,368,Department of Health Research ,Development of Infrastructure for Promotion of Health Research,72.5, NA,72.5,80, NA,80,74, NA ,74,80, NA,80
Demand No. 45,369,Department of Health Research ,Development of tools/support to prevent outbreaks of epidemics,6, NA,6,7.29, NA,7.29,12.26, NA ,12.26,15, NA,15
Demand No. 45,370,Department of Health Research ,Human Resource and Capacity Development,71.81, NA,71.81,92, NA,92,57.03, NA ,57.03,83, NA,83
Demand No. 45,371,Department of Health Research ,COVID-19 Emergency Response and Health System Preparedness Package-EAP, NA, NA, NA, NA, NA, NA,2100, NA ,2100, NA, NA, NA
Demand No. 46,372,Department of Heavy Industry ,National Automotive Testing and Research and Development Infrastructure Project (NATRIP),150.88,108.35,259.23, NA,300,300, NA,114.3,114.3, NA,67.22,67.22
Demand No. 46,373,Department of Heavy Industry ,Scheme for Faster Adoption and Manufacturing of (Hybrid and) Electric Vehicle in India - (FAME - India).,500, NA,500,692.94, NA,692.94,318.36, NA ,318.36,756.66, NA,756.66
Demand No. 46,374,Department of Heavy Industry ,Development Council for Automobile and Allied Industries,8.8, NA,8.8,15, NA,15,13.51, NA ,13.51,15, NA,15
Demand No. 46,375,Department of Heavy Industry ,Enhancement of Competitiveness in the Indian Capital Goods Sector,102.17, NA,102.17,173.11, NA,173.11,55.52, NA ,55.52,97.59, NA,97.59
Demand No. 46,376,Department of Heavy Industry ,Research and Development project for development of Advanced Ultra Super Critical (AUSC) Technology for Thermal Power Plants,134, NA,134, NA, NA, NA, NA, NA , NA, NA, NA, NA
Demand No. 46,377,Department of Heavy Industry ,Industry Associations and PSUs for undertaking promotional activities,0.04, NA,0.04,0.2, NA,0.2,0.2, NA ,0.2,0.5, NA,0.5
Demand No. 47,378,Department of Public Enterprises ,"Counselling, Retraining and Redeployment (CRR) Scheme",3.4, NA,3.4,4.5, NA,4.5,2.1, NA ,2.1,3.4, NA,3.4
Demand No. 47,379,Department of Public Enterprises ,"Research, Development and Consultancy on generic issues related to CPSEs and State Level Public Enterprises",5.15, NA,5.15,6, NA,6,3.5, NA ,3.5,5.15, NA,5.15
Demand No. 48,380,Ministry of Home Affairs ,Relief and Rehabilitation for migrants and repatriates,730.37, NA,730.37,205.83, NA,205.83,258.56, NA ,258.56,241.2, NA,241.2
Demand No. 48,381,Ministry of Home Affairs ,Freedom Fighters (pension and other benefits),856.52, NA,856.52,775.31, NA,775.31,761.31, NA ,761.31,775.31, NA,775.31
Demand No. 48,382,Ministry of Home Affairs ,Helicopter Services,106.75, NA,106.75,115, NA,115,86, NA ,86,116, NA,116
Demand No. 48,383,Ministry of Home Affairs ,Infrastructure for Disaster Management, NA,146.45,146.45, NA,72.03,72.03, NA,106.15,106.15, NA,72.05,72.05
Demand No. 48,384,Ministry of Home Affairs ,National Cyclone Risk Mitigation Project,225.21, NA,225.21,296.27, NA,296.27,99.43, NA ,99.43,296.27, NA,296.27
Demand No. 48,385,Ministry of Home Affairs ,Other Disaster Management Schemes,127.94, NA,127.94,113.29, NA,113.29,121.78, NA ,121.78,113.29, NA,113.29
Demand No. 48,386,Ministry of Home Affairs ,Civic Action Programme and Media Plan,29.72, NA,29.72,23, NA,23,23, NA ,23,27, NA,27
Demand No. 50,387,Police ,"IVFRT (Immigration, Visa and Foreigners Registration and Tracking)",77.31, NA,77.31,77, NA,77,77, NA ,77,77, NA,77
Demand No. 50,388,Police ,"BSF Air Wing, Aircrafts, River Boats and Helibase",35.7,98.04,133.74,36.64,112.66,149.3,21.25,33.5,54.75,31.13,109.02,140.15
Demand No. 50,389,Police ,Border Infrastructure and Management,216.62,1939.47,2156.09,208.14,1788.37,1996.51,205.62,1289.38,1495,208.93,1921.39,2130.32
Demand No. 50,390,Police ,Police Infrastructure, NA,4062.91,4062.91, NA,4134.61,4134.61, NA,1816.14,1816.14, NA,3612.29,3612.29
Demand No. 50,391,Police ,Narcotics Control Bureau,4.77, NA,4.77,5, NA,5,3.25, NA ,3.25,5, NA,5
Demand No. 50,392,Police ,Schemes for Safety of Women,50.01, NA,50.01,855.23, NA,855.23,171.63, NA ,171.63,100, NA,100
Demand No. 50,393,Police ,Indian Cyber Crime Coordination Centre,0.7, NA,0.7,79.8, NA,79.8,44, NA ,44,69.8, NA,69.8
Demand No. 59,394,Ministry of Housing and Urban Affairs ,Grants to Delhi Metro Rail Corporation,414.7, NA,414.7, NA, NA, NA, NA, NA , NA, NA, NA, NA
Demand No. 59,395,Ministry of Housing and Urban Affairs ,Metro Projects, NA,18161.99,18161.99, NA,17482,17482, NA,6483.59,6483.59, NA,18998,18998
Demand No. 59,396,Ministry of Housing and Urban Affairs ,Transport Planning and Capacity Building in Urban Transport,57.38, NA,57.38,30.6, NA,30.6,29.01, NA ,29.01,30, NA,30
Demand No. 59,397,Ministry of Housing and Urban Affairs ,National Capital Region Transport Corporation,274.25, NA,274.25,398.4,2089,2487.4,398.4,2089,2487.4,188,4284,4472
Demand No. 59,398,Ministry of Housing and Urban Affairs ,Residential,922.96,588.91,1511.87, NA,545.32,545.32, NA,567.15,567.15, NA,606.07,606.07
Demand No. 59,399,Ministry of Housing and Urban Affairs ,Non-residential,795.46,541.79,1337.25, NA,742.69,742.69, NA,1022.68,1022.68, NA,1745.94,1745.94
Demand No. 59,400,Ministry of Housing and Urban Affairs ,North Eastern Regional Urban Development Project (NERUDP),240.13,12.3,252.43,150, NA,150,125, NA ,125,119.94, NA,119.94
Demand No. 59,401,Ministry of Housing and Urban Affairs ,Other projects in NER,110.16, NA,110.16, NA, NA, NA, NA, NA , NA,0.06, NA,0.06
Demand No. 59,402,Ministry of Housing and Urban Affairs ,Champion Services Sector Scheme - Nirman Kaushal Vikash Yojana, NA, NA, NA,50, NA,50,1, NA ,1,0.01, NA,0.01
Demand No. 59,403,Ministry of Housing and Urban Affairs ,Prime Minister's Street Vendors' Atmanirbhar Nidhi (PM SVANIDHI), NA, NA, NA, NA, NA, NA,142.24, NA ,142.24,200, NA,200
Demand No. 59,404,Ministry of Housing and Urban Affairs ,Public Health Engineering (PHE) Sector Development Scheme, NA, NA, NA, NA, NA, NA, NA, NA , NA,2, NA,2
Demand No. 60,405,Ministry of Information and Broadcasting ,Prasar Bharati,235.4, NA,235.4,370, NA,370,173.9, NA ,173.9,316, NA,316
Demand No. 60,406,Ministry of Information and Broadcasting ,Information,206.89, NA,206.89,220, NA,220,103.4, NA ,103.4,188, NA,188
Demand No. 60,407,Ministry of Information and Broadcasting ,Films,121.89,2.87,124.76,131.94,13.56,145.5,60.91,6.4,67.31,111.59,12.62,124.21
Demand No. 60,408,Ministry of Information and Broadcasting ,Mass Communication,13.75, NA,13.75, NA, NA, NA, NA, NA , NA, NA, NA, NA
Demand No. 60,409,Ministry of Information and Broadcasting ,Strengthening of Broadcasting Activities,25.21,1.42,26.63,4.5, NA,4.5,2.12, NA ,2.12,3.84, NA,3.84
Demand No. 61,410,"Department of Water Resources, River Development and Ganga Rejuvenation ",National River Conservation Plan,1200, NA,1200,840.01, NA,840.01,800, NA ,800,850.01, NA,850.01
Demand No. 61,411,"Department of Water Resources, River Development and Ganga Rejuvenation ",Farakka Barrage Project,9.6,50.08,59.68,23.55,52.45,76,18.8,20.05,38.85,22.95,30.05,53
Demand No. 61,412,"Department of Water Resources, River Development and Ganga Rejuvenation ",Emergent Flood Protection Works in Eastern and Western Sectors, NA, NA, NA, NA,0.01,0.01, NA, NA , NA, NA, NA, NA
Demand No. 61,413,"Department of Water Resources, River Development and Ganga Rejuvenation ",Dam Rehabilitation and Improvement Programme,22.78,18.83,41.61,24.87,30.13,55,16.74,13.26,30,14.07,10.93,25
Demand No. 61,414,"Department of Water Resources, River Development and Ganga Rejuvenation ",National Ganga Plan and Ghat Works,353.4, NA,353.4,800.01, NA,800.01,500, NA ,500,600.01, NA,600.01
Demand No. 61,415,"Department of Water Resources, River Development and Ganga Rejuvenation ",River Basin Management,148.41,0.45,148.86,199.25,0.75,200,148.9,0.1,149,198.4,0.6,199
Demand No. 61,416,"Department of Water Resources, River Development and Ganga Rejuvenation ",Development of Water Resources Information System,105.59,22.68,128.27,107.44,32.56,140,113.7,16.3,130,142.5,32.5,175
Demand No. 61,417,"Department of Water Resources, River Development and Ganga Rejuvenation ",Ground Water Management and Regulation,71.67,167.65,239.32,85.77,189.23,275,58.5,66.5,125,82,193,275
Demand No. 61,418,"Department of Water Resources, River Development and Ganga Rejuvenation ",National Hydrology Project,141.62,3.09,144.71,183.65,16.35,200,128.94,6.06,135,176.14,23.86,200
Demand No. 61,419,"Department of Water Resources, River Development and Ganga Rejuvenation ",Research and Development and Implementation of National Water Mission,39.2,8.56,47.76,48.68,11.32,60,25.84,3.16,29,22.62,6.88,29.5
Demand No. 61,420,"Department of Water Resources, River Development and Ganga Rejuvenation ",HRD/Capacity Building Programme,27.45,0.28,27.73,47.12,2.88,50,18.21,0.22,18.43,28.26,1.24,29.5
Demand No. 61,421,"Department of Water Resources, River Development and Ganga Rejuvenation ",Infrastructure Development,2.04,35.75,37.79,2.7,47.3,50,0.8,10.31,11.11,1.3,18.7,20
Demand No. 63,422,Ministry of Labour and Employment ,Labour and Employment Statistical System (LESS),17.73, NA,17.73,25, NA,25,27, NA ,27,150, NA,150
Demand No. 63,423,Ministry of Labour and Employment ,"Machinery for Better Conciliation,  Preventive Mediation, Effective Enforcement of Labour Laws, Chief Labour Commissioner",15.3,14.43,29.73, NA, NA, NA, NA, NA , NA, NA, NA, NA
Demand No. 63,424,Ministry of Labour and Employment ,"Strengthening and Development of DGFASLI Organization and OSH in factories, ports and docks",5.19,4.29,9.48, NA, NA, NA, NA, NA , NA, NA, NA, NA
Demand No. 63,425,Ministry of Labour and Employment ,Strengthening of System and Infrastructure of Directorate General of Mines Safety (SSID),10.22,1.05,11.27, NA, NA, NA, NA, NA , NA, NA, NA, NA
Demand No. 63,426,Ministry of Labour and Employment ,Labour Welfare Scheme,134.5,0.56,135.06,149,1,150,99.8,0.2,100,149.5,0.5,150
Demand No. 63,427,Ministry of Labour and Employment ,Creation of National Platform of Unorganized Workers and allotment of an Aadhaar seeded identification numbers,0.15, NA,0.15,50, NA,50,50, NA ,50, NA, NA, NA
Demand No. 63,428,Ministry of Labour and Employment ,Bima Yojana for Unorganised Workers,190, NA,190,200, NA,200,1, NA ,1,0.1, NA,0.1
Demand No. 63,429,Ministry of Labour and Employment ,"Employees Pension Scheme, 1995",5096.67, NA,5096.67,7457, NA,7457,7457, NA ,7457,7364, NA,7364
Demand No. 63,430,Ministry of Labour and Employment ,Social Security for Plantation Workers in Assam,19.04, NA,19.04,40, NA,40,40, NA ,40,60, NA,60
Demand No. 63,431,Ministry of Labour and Employment ,Incentive for Entities for providing Maternity benefits, NA, NA, NA,0.1, NA,0.1, NA, NA , NA, NA, NA, NA
Demand No. 63,432,Ministry of Labour and Employment ,Pradhan Mantri Shram Yogi Maandhan,352.2, NA,352.2,500, NA,500,330, NA ,330,400, NA,400
Demand No. 63,433,Ministry of Labour and Employment ,Pradhan Mantri Karam Yogi Maandhan,155.87, NA,155.87,180, NA,180,15, NA ,15,150, NA,150
Demand No. 63,434,Ministry of Labour and Employment ,Seeding and Authentication of Aadhaar number of all insured Persons under ESI database, NA, NA, NA,3, NA,3,0.1, NA ,0.1, NA, NA, NA
Demand No. 63,435,Ministry of Labour and Employment ,Pradhan Mantri Gareeb Kalyan Yojana, NA, NA, NA, NA, NA, NA,2600, NA ,2600, NA, NA, NA
Demand No. 63,436,Ministry of Labour and Employment ,Aatmanirbhar Bharat Rojgar Yojana, NA, NA, NA, NA, NA, NA,1000, NA ,1000,3130, NA,3130
Demand No. 63,437,Ministry of Labour and Employment ,National Child Labour Project including grants in aid to voluntary agencies and reimbursement of assistance to bonded labour,77.48, NA,77.48,120, NA,120,50, NA ,50,120, NA,120
Demand No. 63,438,Ministry of Labour and Employment ,National database for Unorganized Workers, NA, NA, NA, NA, NA, NA, NA, NA , NA,150, NA,150
Demand No. 64,439,Law and Justice ,Action Research and Studies on Judicial Reforms,30.16, NA,30.16,35.73, NA,35.73,35, NA ,35, NA, NA, NA
Demand No. 64,440,Law and Justice ,Designing Innovative Solutions for Holistic Access to Justice in India(DISHA), NA, NA, NA, NA, NA, NA, NA, NA , NA,40, NA,40
Demand No. 64,441,Law and Justice ,e-Courts Phase II,179.26, NA,179.26,250, NA,250,180, NA ,180,98.82, NA,98.82
Demand No. 67,442,"Ministry of Micro, Small and Medium Enterprises ",Khadi Grant (KG),370.51, NA,370.51,383.6, NA,383.6,222.17, NA ,222.17,350, NA,350
Demand No. 67,443,"Ministry of Micro, Small and Medium Enterprises ",Market Promotion and Development Assistance,103.33, NA,103.33, NA, NA, NA, NA, NA , NA, NA, NA, NA
Demand No. 67,444,"Ministry of Micro, Small and Medium Enterprises ",Scheme for Fund for Regeneration of Traditional Industries (SFURTI),181.81, NA,181.81,464.85, NA,464.85,300, NA ,300,170, NA,170
Demand No. 67,445,"Ministry of Micro, Small and Medium Enterprises ",Coir Vikas Yojana,70.89, NA,70.89,103.87, NA,103.87,80.7, NA ,80.7,80, NA,80
Demand No. 67,446,"Ministry of Micro, Small and Medium Enterprises ",Coir Udyami Yojana,1.96, NA,1.96, NA, NA, NA, NA, NA , NA, NA, NA, NA
Demand No. 67,447,"Ministry of Micro, Small and Medium Enterprises ",Loans to Khadi Village and Coir Industries, NA,0.15,0.15, NA,0.7,0.7, NA, NA , NA, NA, NA, NA
Demand No. 67,448,"Ministry of Micro, Small and Medium Enterprises ",Solar Charkha Mission,46.05, NA,46.05,100, NA,100,0.04, NA ,0.04,5.04, NA,5.04
Demand No. 67,449,"Ministry of Micro, Small and Medium Enterprises ",Khadi Vikas Yojana,361.03, NA,361.03,370, NA,370,258.44, NA ,258.44,250, NA,250
Demand No. 67,450,"Ministry of Micro, Small and Medium Enterprises ",Gramodyog Vikas Yojana,80.65, NA,80.65,102.92, NA,102.92,37.35, NA ,37.35,50, NA,50
Demand No. 67,451,"Ministry of Micro, Small and Medium Enterprises ","ASPIRE (Promotion of Innovation, Rural Industry and Entrepreneurship)",1.38, NA,1.38,30, NA,30,15, NA ,15,15, NA,15
Demand No. 67,452,"Ministry of Micro, Small and Medium Enterprises ",Credit Linked Capital Subsidy and Technology Upgradation Scheme,758.41, NA,758.41,653.91, NA,653.91,1080.67, NA ,1080.67,315.31, NA,315.31
Demand No. 67,453,"Ministry of Micro, Small and Medium Enterprises ",Prime Minister Employment Generation Programme (PMEGP),2464.44, NA,2464.44,2500, NA,2500,1650, NA ,1650,2000, NA,2000
Demand No. 67,454,"Ministry of Micro, Small and Medium Enterprises ",Credit Support Programme,555.15, NA,555.15,100, NA,100,0.04, NA ,0.04,0.04, NA,0.04
Demand No. 67,455,"Ministry of Micro, Small and Medium Enterprises ",Interest Subvention Scheme for Incremental Credit to MSMEs,350, NA,350,200, NA,200,350, NA ,350,199.66, NA,199.66
Demand No. 67,456,"Ministry of Micro, Small and Medium Enterprises ",Distressed Assets Fund, NA, NA, NA, NA, NA, NA,227.41, NA ,227.41,300, NA,300
Demand No. 67,457,"Ministry of Micro, Small and Medium Enterprises ",Guarantee Emergency Credit Line (GECL) facility to eligible MSME borrowers, NA, NA, NA, NA, NA, NA, NA, NA , NA,10000, NA,10000
Demand No. 67,458,"Ministry of Micro, Small and Medium Enterprises ",Procurement and Marketing Support Scheme,79.88, NA,79.88,54.59, NA,54.59,24.96, NA ,24.96,24.96, NA,24.96
Demand No. 67,459,"Ministry of Micro, Small and Medium Enterprises ",Marketing Assistance Scheme (MAS), NA, NA, NA,0.04, NA,0.04, NA, NA , NA, NA, NA, NA
Demand No. 67,460,"Ministry of Micro, Small and Medium Enterprises ",International Cooperation Scheme,6.9, NA,6.9,20, NA,20,2, NA ,2,15, NA,15
Demand No. 67,461,"Ministry of Micro, Small and Medium Enterprises ",Mahatma Gandhi Institute for Rural Industrialisation,10, NA,10,11, NA,11,7.28, NA ,7.28,7.5, NA,7.5
Demand No. 67,462,"Ministry of Micro, Small and Medium Enterprises ",Promotional Services Institutions and Programme,255.77, NA,255.77,258.92, NA,258.92,148.34, NA ,148.34,176.7, NA,176.7
Demand No. 67,463,"Ministry of Micro, Small and Medium Enterprises ","Information, Education and Communication",3.58, NA,3.58,6.55, NA,6.55,4.35, NA ,4.35,6.72, NA,6.72
Demand No. 67,464,"Ministry of Micro, Small and Medium Enterprises ",Assistance to Training Institutions,29.66, NA,29.66,30, NA,30,24, NA ,24,30, NA,30
Demand No. 67,465,"Ministry of Micro, Small and Medium Enterprises ",MSME Fund, NA, NA, NA,50, NA,50,0.01, NA ,0.01,0.01, NA,0.01
Demand No. 67,466,"Ministry of Micro, Small and Medium Enterprises ",Fund of Funds, NA, NA, NA,200, NA,200, NA,150,150, NA,350,350
Demand No. 67,467,"Ministry of Micro, Small and Medium Enterprises ",Infrastructure Development and Capacity Building,435.91, NA,435.91,801.7, NA,801.7,455.5, NA ,455.5,507.63, NA,507.63
Demand No. 67,468,"Ministry of Micro, Small and Medium Enterprises ",Establishment of New Technology Centres,128, NA,128,200, NA,200,85.96, NA ,85.96,300, NA,300
Demand No. 67,469,"Ministry of Micro, Small and Medium Enterprises ",Infrastructure Development and Capacity Building- EAP Component,266.22, NA,266.22,400, NA,400,315.1, NA ,315.1,280, NA,280
Demand No. 67,470,"Ministry of Micro, Small and Medium Enterprises ",Construction of Office Accomodation- Capital Outlay on Public Works, NA,14.98,14.98, NA,58.3,58.3, NA,40,40, NA,20,20
Demand No. 67,471,"Ministry of Micro, Small and Medium Enterprises ",Database Research Evaluation and Other Office Support Programme,7.95, NA,7.95,27.25, NA,27.25,3.89, NA ,3.89,23.64, NA,23.64
Demand No. 67,472,"Ministry of Micro, Small and Medium Enterprises ","Survey, Studies and Policy Research", NA, NA, NA,1.26, NA,1.26,1.26, NA ,1.26,2, NA,2
Demand No. 67,473,"Ministry of Micro, Small and Medium Enterprises ",National Schedule Caste/Schedule Tribe Hub Centre,79.64, NA,79.64,150, NA,150,120, NA ,120,150, NA,150
Demand No. 69,474,Ministry of Minority Affairs ,Quami Waqf Board Taraqqiati Scheme and Sahari Waqf Sampati Vikas Yojna,14.98, NA,14.98,21, NA,21,12, NA ,12,16, NA,16
Demand No. 69,475,Ministry of Minority Affairs ,Education  Empowerment,2175.65, NA,2175.65,2530, NA,2530,2420, NA ,2420,2381, NA,2381
Demand No. 69,476,Ministry of Minority Affairs ,Skill  Development and Livelihoods,273.46,160,433.46,442,160,602,317,110,427,420,153,573
Demand No. 69,477,Ministry of Minority Affairs ,Special  Programmes of Minorities,29.53, NA,29.53,57, NA,57,44.2, NA ,44.2,46, NA,46
Demand No. 70,478,Ministry of New and Renewable Energy ,Wind Power,1026, NA,1026,1299.35, NA,1299.35,1059.35, NA ,1059.35,1100, NA,1100
Demand No. 70,479,Ministry of New and Renewable Energy ,Small Hydro Power,75.25, NA,75.25,100, NA,100,47.5, NA ,47.5,90, NA,90
Demand No. 70,480,Ministry of New and Renewable Energy ,Bio Power,4.5, NA,4.5,75, NA,75,14.15, NA ,14.15,120, NA,120
Demand No. 70,481,Ministry of New and Renewable Energy ,Solar Power,1535.35, NA,1535.35,2149.65, NA,2149.65,1254.1, NA ,1254.1,2369.13, NA,2369.13
Demand No. 70,482,Ministry of New and Renewable Energy ,Kisan Urja Suraksha evam Utthaan Mahabhiyan (KUSUM), NA, NA, NA,300, NA,300,30, NA ,30,221, NA,221
Demand No. 70,483,Ministry of New and Renewable Energy ,Green Energy Corridors,52.61, NA,52.61,300, NA,300,160, NA ,160,300, NA,300
Demand No. 70,484,Ministry of New and Renewable Energy ,Externally Aided Project (EAP) - Component,0.4, NA,0.4,1, NA,1, NA, NA , NA, NA, NA, NA
Demand No. 70,485,Ministry of New and Renewable Energy ,Interest Payment and Issuing Expenses on the Bonds,124.35, NA,124.35,125, NA,125,124.38, NA ,124.38,124.35, NA,124.35
Demand No. 70,486,Ministry of New and Renewable Energy ,Wind Power, NA, NA, NA,3.01, NA,3.01,3.01, NA ,3.01, NA, NA, NA
Demand No. 70,487,Ministry of New and Renewable Energy ,Small Hydro Power,2.02, NA,2.02,2, NA,2,2, NA ,2,2, NA,2
Demand No. 70,488,Ministry of New and Renewable Energy ,Bio Power,0.97, NA,0.97,53, NA,53,14.23, NA ,14.23,70, NA,70
Demand No. 70,489,Ministry of New and Renewable Energy ,Solar Power,460.32, NA,460.32,366.14, NA,366.14,312.14, NA ,312.14,237, NA,237
Demand No. 70,490,Ministry of New and Renewable Energy ,Kisan Urja Suraksha evam Utthaan Mahabhiyan(KUSUM), NA, NA, NA,700, NA,700,180, NA ,180,776.3, NA,776.3
Demand No. 70,491,Ministry of New and Renewable Energy ,Biogas Programme,35.93, NA,35.93,60, NA,60,46.5, NA ,46.5,95, NA,95
Demand No. 70,492,Ministry of New and Renewable Energy ,"Other Renewable Energy Applications (Solar Cities, Green Buildings, Support to States, Demonstration of Renewable Energy Applications, Cookstoves, etc.)",0.22, NA,0.22,0.05, NA,0.05,0.05, NA ,0.05,0.2, NA,0.2
Demand No. 70,493,Ministry of New and Renewable Energy ,Research and Development,15, NA,15,20, NA,20,49, NA ,49,75, NA,75
Demand No. 70,494,Ministry of New and Renewable Energy ,Monitoring/Evaluation and Other Studies, NA, NA, NA,0.3, NA,0.3,0.1, NA ,0.1,0.3, NA,0.3
Demand No. 70,495,Ministry of New and Renewable Energy ,Information Technology/e-Governance and other Initiatives,0.54, NA,0.54, NA, NA, NA, NA, NA , NA, NA, NA, NA
Demand No. 70,496,Ministry of New and Renewable Energy ,"Information, Education and Communications",5.46, NA,5.46,10, NA,10,4.7, NA ,4.7,8, NA,8
Demand No. 70,497,Ministry of New and Renewable Energy ,International Relations - International Co-operation including Investment Promotion and Assistance to International Solar Alliance,16.36, NA,16.36,22, NA,22,22, NA ,22,20, NA,20
Demand No. 70,498,Ministry of New and Renewable Energy ,Human Resources Development and Training,62.11, NA,62.11,60, NA,60,20, NA ,20,37, NA,37
Demand No. 71,499,Ministry of Panchayati Raj ,Action Research,0.91, NA,0.91,2, NA,2,2, NA ,2,3, NA,3
Demand No. 71,500,Ministry of Panchayati Raj ,International Contribution,0.14, NA,0.14,0.2, NA,0.2,0.16, NA ,0.16,0.2, NA,0.2
Demand No. 71,501,Ministry of Panchayati Raj ,Media and Publicity,5.25, NA,5.25,8, NA,8,10.22, NA ,10.22,12, NA,12
Demand No. 71,502,Ministry of Panchayati Raj ,Svamitva, NA, NA, NA, NA, NA, NA,79.65, NA ,79.65,200, NA,200
Demand No. 73,503,"Ministry of Personnel, Public Grievances and Pensions ",Training Schemes,97.61,29.87,127.48,104.7,50.3,155,48.11,46.23,94.34,87.31,91.01,178.32
